baseline,stage1,stage2,stage3,stage4,recovery,stage5
49.1,49.4,58.0,81.8,76.0,53.5,51.2
90.1,75.2,68.9,57.9,77.7,48.9,35.9
91.8,59.7,65.8,69.8,75.2,57.6,27.4
55.2,73.0,87.1,82.4,76.8,17.1,62.0
128.0,90.6,44.1,47.1,68.5,57.6,52.7
116.0,59.7,64.8,84.0,43.3,48.3,50.8
87.8,36.9,93.5,87.6,69.9,37.1,46.8
86.9,77.1,74.8,78.9,87.3,61.3,58.8
74.6,53.2,44.1,91.3,70.0,87.4,59.4
57.1,76.1,58.2,100.0,53.2,92.8,57.5
70.2,68.4,60.4,41.8,39.6,168.0,40.3
78.3,56.3,97.6,62.9,38.5,52.1,61.5
61.5,87.6,53.0,72.7,55.0,131.0,52.5
57.7,30.4,86.1,83.1,76.8,51.2,41.8
69.1,83.8,62.6,62.3,45.0,59.1,59.0
79.3,86.8,66.8,97.9,68.8,59.5,50.5
61.7,56.6,60.0,71.3,65.0,74.1,58.9
72.7,65.7,66.2,66.2,50.4,51.1,59.3
57.9,102.0,49.0,86.8,69.2,53.1,56.8
63.8,67.4,56.8,70.0,75.6,60.8,67.3
53.9,71.8,74.4,92.6,79.3,67.0,36.4
75.3,54.6,57.1,45.9,69.7,55.5,52.4
68.7,79.1,41.8,59.8,84.0,56.3,51.3
48.9,77.5,77.2,94.7,69.1,40.4,56.7
70.6,49.7,72.8,87.8,80.0,54.8,52.1
50.9,49.4,91.0,68.4,85.1,57.9,48.1
66.3,69.5,78.4,115.0,102.0,44.5,37.1
74.0,49.8,88.0,73.3,56.3,55.0,46.9
76.1,35.7,45.5,90.3,65.3,42.8,40.1
95.1,55.8,85.3,84.1,61.9,30.7,62.3
81.3,80.4,60.4,52.3,67.0,58.8,62.5
88.1,80.8,75.4,71.6,30.4,38.2,47.9
67.4,101.0,72.7,43.6,32.3,44.7,47.9
65.4,70.6,38.4,40.3,83.0,61.6,57.9
54.8,87.0,59.5,48.4,84.3,66.1,38.7
82.1,95.3,55.9,105.0,47.0,18.7,42.9
65.3,54.3,62.8,63.4,77.7,37.1,51.8
68.7,72.4,58.2,56.0,61.0,53.0,30.1
72.2,82.5,58.9,48.5,50.3,64.0,58.0
65.9,64.2,75.5,77.8,69.6,61.7,38.3
70.3,88.0,80.4,28.5,70.7,20.1,56.5
69.7,67.6,78.8,44.6,96.4,57.7,63.9
62.5,75.4,44.2,62.2,54.8,57.1,53.3
65.4,66.5,69.1,66.7,71.0,58.6,32.0
68.7,68.0,58.7,60.8,59.7,38.0,47.6
