baseline,recovery,stage1,stage2,stage3,stage4
,92.0,,111.0,89.0,73.0
,101.0,,113.0,84.0,67.0
,96.0,,0.0,83.0,63.0
,89.0,,,84.0,67.0
,94.0,,,78.0,67.0
,94.0,,,88.0,73.0
,92.0,,,78.0,62.0
,93.0,,,87.0,67.0
,92.0,,,78.0,67.0
,97.0,,,84.0,72.0
,92.0,,,83.0,63.0
,93.0,,,84.0,67.0
,93.0,,,85.0,72.0
,88.0,,,175.0,67.0
,98.0,,,168.0,67.0
,88.0,,,80.0,67.0
,98.0,,,91.0,67.0
,93.0,,,81.0,67.0
,87.0,,,88.0,63.0
,93.0,,,83.0,72.0
,98.0,,,85.0,67.0
,88.0,,,86.0,68.0
,93.0,,,85.0,67.0
,95.0,,,91.0,61.0
,94.0,,,79.0,73.0
,95.0,,,91.0,67.0
,95.0,,,80.0,62.0
,96.0,,,80.0,67.0
,96.0,,,89.0,72.0
,97.0,,,84.0,62.0
,97.0,,,85.0,67.0
,98.0,,,84.0,67.0
,97.0,,,83.0,67.0
,98.0,,,87.0,72.0
,98.0,,,85.0,61.0
,103.0,,,86.0,72.0
,97.0,,,83.0,67.0
,97.0,,,79.0,61.0
,98.0,,,91.0,67.0
,92.0,,,79.0,71.0
,97.0,,,85.0,62.0
,97.0,,,87.0,66.0
,96.0,,,91.0,67.0
,97.0,,,82.0,66.0
,96.0,,,82.0,72.0
,97.0,,,96.0,67.0
,101.0,,,82.0,67.0
,97.0,,,92.0,66.0
,95.0,,,82.0,62.0
,97.0,,,82.0,66.0
,95.0,,,93.0,72.0
,90.0,,,92.0,61.0
,95.0,,,84.0,73.0
,96.0,,,92.0,66.0
,95.0,,,82.0,62.0
,97.0,,,87.0,66.0
,97.0,,,86.0,73.0
,98.0,,,91.0,66.0
,98.0,,,81.0,67.0
,98.0,,,91.0,61.0
,98.0,,,84.0,72.0
,99.0,,,81.0,67.0
,99.0,,,89.0,66.0
,99.0,,,332.0,65.0
,99.0,,,84.0,69.0
,99.0,,,86.0,60.0
,98.0,,,86.0,67.0
,104.0,,,93.0,67.0
,98.0,,,88.0,66.0
,98.0,,,78.0,67.0
,98.0,,,100.0,66.0
,92.0,,,84.0,72.0
,97.0,,,95.0,67.0
,97.0,,,0.0,66.0
,95.0,,,,67.0
,101.0,,,,67.0
,96.0,,,,62.0
,94.0,,,,66.0
,94.0,,,,68.0
,89.0,,,,133.0
,93.0,,,,72.0
,100.0,,,,67.0
,93.0,,,,62.0
,93.0,,,,66.0
,89.0,,,,72.0
,95.0,,,,62.0
,95.0,,,,66.0
,95.0,,,,66.0
,94.0,,,,67.0
,95.0,,,,67.0
,96.0,,,,72.0
,96.0,,,,66.0
,101.0,,,,67.0
,98.0,,,,66.0
,97.0,,,,62.0
,92.0,,,,67.0
,99.0,,,,71.0
,98.0,,,,67.0
,98.0,,,,61.0
,98.0,,,,72.0
,98.0,,,,66.0
,99.0,,,,67.0
,103.0,,,,61.0
,98.0,,,,67.0
,92.0,,,,71.0
,102.0,,,,66.0
,95.0,,,,67.0
,96.0,,,,66.0
,96.0,,,,61.0
,95.0,,,,138.0
,91.0,,,,66.0
,96.0,,,,66.0
,98.0,,,,61.0
,98.0,,,,67.0
,99.0,,,,66.0
,100.0,,,,70.0
,101.0,,,,62.0
,109.0,,,,66.0
,103.0,,,,70.0
,104.0,,,,67.0
,99.0,,,,60.0
,104.0,,,,71.0
,104.0,,,,61.0
,105.0,,,,66.0
