baseline,stage1,stage2,stage3,stage4,recovery,stage5
97.0,107.0,108.0,119.0,141.0,145.0,176.0
100.0,104.0,102.0,113.0,140.0,143.0,179.0
107.0,100.0,112.0,112.0,141.0,145.0,179.0
97.0,110.0,97.0,107.0,141.0,145.0,179.0
101.0,102.0,104.0,114.0,141.0,145.0,179.0
103.0,101.0,106.0,115.0,135.0,145.0,179.0
104.0,103.0,107.0,114.0,150.0,143.0,179.0
108.0,103.0,110.0,113.0,141.0,141.0,179.0
94.0,100.0,111.0,113.0,143.0,143.0,179.0
99.0,98.0,114.0,107.0,143.0,143.0,182.0
104.0,105.0,109.0,120.0,141.0,141.0,179.0
92.0,97.0,125.0,111.0,143.0,141.0,179.0
90.0,101.0,112.0,112.0,141.0,141.0,182.0
91.0,94.0,126.0,111.0,141.0,141.0,182.0
98.0,93.0,114.0,106.0,141.0,143.0,182.0
103.0,98.0,106.0,121.0,143.0,141.0,179.0
110.0,99.0,103.0,109.0,141.0,141.0,182.0
99.0,104.0,109.0,113.0,143.0,143.0,179.0
102.0,92.0,89.0,124.0,133.0,141.0,182.0
94.0,105.0,103.0,118.0,152.0,141.0,182.0
108.0,103.0,100.0,119.0,143.0,143.0,182.0
101.0,97.0,101.0,119.0,143.0,141.0,179.0
96.0,105.0,103.0,119.0,145.0,141.0,182.0
105.0,93.0,113.0,112.0,136.0,141.0,179.0
110.0,98.0,97.0,133.0,164.0,143.0,182.0
94.0,93.0,124.0,115.0,135.0,141.0,182.0
98.0,96.0,106.0,112.0,146.0,140.0,179.0
97.0,89.0,114.0,103.0,145.0,143.0,179.0
93.0,95.0,117.0,106.0,146.0,143.0,182.0
93.0,99.0,117.0,109.0,146.0,143.0,182.0
93.0,93.0,119.0,108.0,145.0,143.0,179.0
88.0,98.0,120.0,107.0,143.0,143.0,182.0
96.0,98.0,120.0,108.0,143.0,143.0,179.0
98.0,101.0,121.0,107.0,143.0,143.0,182.0
90.0,97.0,120.0,115.0,143.0,141.0,182.0
97.0,105.0,119.0,111.0,143.0,141.0,182.0
104.0,98.0,114.0,118.0,132.0,141.0,179.0
89.0,105.0,108.0,103.0,152.0,141.0,182.0
95.0,97.0,99.0,114.0,143.0,141.0,182.0
104.0,101.0,102.0,121.0,140.0,140.0,182.0
90.0,94.0,108.0,115.0,140.0,140.0,182.0
98.0,106.0,109.0,117.0,141.0,141.0,182.0
104.0,102.0,109.0,118.0,140.0,140.0,179.0
91.0,97.0,112.0,118.0,138.0,141.0,185.0
87.0,103.0,95.0,117.0,140.0,141.0,182.0
81.0,98.0,117.0,107.0,140.0,143.0,182.0
86.0,99.0,94.0,110.0,132.0,143.0,182.0
88.0,100.0,112.0,120.0,150.0,143.0,182.0
87.0,103.0,108.0,102.0,140.0,143.0,182.0
88.0,102.0,107.0,109.0,140.0,143.0,182.0
88.0,103.0,106.0,107.0,140.0,141.0,179.0
92.0,109.0,104.0,109.0,140.0,141.0,182.0
92.0,103.0,109.0,110.0,140.0,141.0,182.0
82.0,107.0,110.0,111.0,140.0,141.0,182.0
88.0,102.0,117.0,108.0,140.0,140.0,179.0
98.0,113.0,108.0,132.0,138.0,141.0,182.0
90.0,109.0,109.0,111.0,138.0,140.0,179.0
91.0,111.0,110.0,120.0,132.0,141.0,179.0
91.0,110.0,118.0,122.0,162.0,140.0,182.0
93.0,100.0,110.0,124.0,121.0,140.0,179.0
94.0,108.0,101.0,124.0,150.0,141.0,179.0
90.0,103.0,110.0,124.0,140.0,140.0,179.0
88.0,98.0,113.0,121.0,140.0,140.0,179.0
