baseline,stage1,stage2,stage3,stage4,recovery
57.3,63.9,89.5,66.0,49.7,43.9
16.5,87.1,47.7,25.8,30.3,31.6
45.0,84.7,68.5,58.3,49.4,40.7
57.6,57.2,62.7,47.6,64.0,39.7
212.0,70.5,39.8,76.5,48.0,53.4
67.2,84.2,34.4,39.9,39.1,50.3
32.4,42.2,43.8,57.2,30.3,44.9
35.7,77.7,57.4,47.7,51.1,61.2
43.9,52.6,65.2,27.0,31.8,59.0
6.85,57.4,34.4,43.1,46.0,40.0
17.3,73.7,65.6,63.7,44.6,58.8
68.6,31.3,64.0,50.7,41.3,25.1
31.7,75.7,28.8,55.1,25.5,59.3
38.3,13.4,66.0,61.7,47.2,41.8
80.6,75.0,68.1,78.2,80.7,50.4
191.0,76.4,92.8,36.1,50.2,36.3
68.9,67.1,64.9,55.3,47.7,41.0
45.1,59.7,72.9,53.4,36.6,50.2
60.7,59.0,58.8,64.5,34.3,38.8
89.0,9.4,59.1,48.6,55.6,26.9
19.8,46.2,65.0,72.6,45.8,42.7
47.9,59.1,144.0,45.7,63.0,42.5
